STATE.,Ratio,Race,Condition,State.Name
AL,0.090556604,Native Hawaian or Pacific Islander,Smoking,ALABAMA
AL,6.503347673,American Indian or Alaska Native,Smoking,ALABAMA
AK,1.241973815,White,Senior,ALASKA
AK,0.695498572,Black,Senior,ALASKA
AK,0.413140609,Hispanic,Senior,ALASKA
AK,1.531902419,Asian,Senior,ALASKA
AK,0.812887993,American Indian or Alaska Native,Senior,ALASKA
AK,0.637529816,Native Hawaian or Pacific Islander,Senior,ALASKA
AK,0.952353063,White,Asthma,ALASKA
AK,1.524114264,Black,Asthma,ALASKA
AK,1.151194247,Hispanic,Asthma,ALASKA
AK,5.144452939,Asian,Asthma,ALASKA
AK,0.158577143,Native Hawaian or Pacific Islander,Asthma,ALASKA
AK,1.372808714,American Indian or Alaska Native,Asthma,ALASKA
AK,1.068496102,White,COPD,ALASKA
AK,1.256450336,Black,COPD,ALASKA
AK,0.442811497,Hispanic,COPD,ALASKA
AK,4.404030574,Asian,COPD,ALASKA
AK,0.035484517,Native Hawaian or Pacific Islander,COPD,ALASKA
AK,1.570863088,American Indian or Alaska Native,COPD,ALASKA
AK,1.080143894,White,Diabetes,ALASKA
AK,2.523458173,Black,Diabetes,ALASKA
AK,0.783027315,Hispanic,Diabetes,ALASKA
AK,9.324633158,Asian,Diabetes,ALASKA
AK,0.119999314,Native Hawaian or Pacific Islander,Diabetes,ALASKA
AK,0.900689579,American Indian or Alaska Native,Diabetes,ALASKA
AK,0.882165167,White,Kidney Disease,ALASKA
AK,NA,Black,Kidney Disease,ALASKA
AK,1.913689471,Hispanic,Kidney Disease,ALASKA
AK,24.99917836,Asian,Kidney Disease,ALASKA
AK,0.946252924,American Indian or Alaska Native,Kidney Disease,ALASKA
AK,NA,Native Hawaian or Pacific Islander,Kidney Disease,ALASKA
AK,1.046236364,White,Obesity,ALASKA
AK,1.427859199,Black,Obesity,ALASKA
AK,0.77845611,Hispanic,Obesity,ALASKA
AK,12.07153898,Asian,Obesity,ALASKA
AK,0.948551689,American Indian or Alaska Native,Obesity,ALASKA
AK,0.315468186,Native Hawaian or Pacific Islander,Obesity,ALASKA
AK,0.805234482,White,Smoking,ALASKA
AK,1.472609468,Black,Smoking,ALASKA
AK,0.714131485,Hispanic,Smoking,ALASKA
AK,12.10301295,Asian,Smoking,ALASKA
AK,0.41398596,Native Hawaian or Pacific Islander,Smoking,ALASKA
AK,1.934094152,American Indian or Alaska Native,Smoking,ALASKA
AZ,1.467753748,White,Senior,ARIZONA
AZ,0.528217643,Black,Senior,ARIZONA
AZ,0.389053774,Hispanic,Senior,ARIZONA
AZ,0.876177677,Asian,Senior,ARIZONA
AZ,0.517447099,American Indian or Alaska Native,Senior,ARIZONA
AZ,0.53885734,Native Hawaian or Pacific Islander,Senior,ARIZONA
AZ,1.131939028,White,Asthma,ARIZONA
AZ,1.272613052,Black,Asthma,ARIZONA
AZ,0.732980299,Hispanic,Asthma,ARIZONA
AZ,2.957696206,Asian,Asthma,ARIZONA
AZ,0.031674844,Native Hawaian or Pacific Islander,Asthma,ARIZONA
AZ,1.196801796,American Indian or Alaska Native,Asthma,ARIZONA
AZ,1.41196891,White,COPD,ARIZONA
AZ,1.046198365,Black,COPD,ARIZONA
AZ,0.400091873,Hispanic,COPD,ARIZONA
AZ,1.422514491,Asian,COPD,ARIZONA
AZ,0.025715878,Native Hawaian or Pacific Islander,COPD,ARIZONA
AZ,0.621249539,American Indian or Alaska Native,COPD,ARIZONA
AZ,0.956073136,White,Diabetes,ARIZONA
AZ,1.180452144,Black,Diabetes,ARIZONA
AZ,1.01120733,Hispanic,Diabetes,ARIZONA
AZ,1.252546487,Asian,Diabetes,ARIZONA
AZ,0.009028604,Native Hawaian or Pacific Islander,Diabetes,ARIZONA
AZ,2.019281917,American Indian or Alaska Native,Diabetes,ARIZONA
AZ,1.225827947,White,Kidney Disease,ARIZONA
AZ,1.147858481,Black,Kidney Disease,ARIZONA
AZ,0.688711007,Hispanic,Kidney Disease,ARIZONA
AZ,NA,Asian,Kidney Disease,ARIZONA
AZ,0.823967477,American Indian or Alaska Native,Kidney Disease,ARIZONA
AZ,NA,Native Hawaian or Pacific Islander,Kidney Disease,ARIZONA
AZ,1.033568104,White,Obesity,ARIZONA
AZ,1.087278517,Black,Obesity,ARIZONA
AZ,0.97088698,Hispanic,Obesity,ARIZONA
AZ,1.224736324,Asian,Obesity,ARIZONA
AZ,1.484297833,American Indian or Alaska Native,Obesity,ARIZONA
AZ,0.014073415,Native Hawaian or Pacific Islander,Obesity,ARIZONA
AZ,1.110700639,White,Smoking,ARIZONA
AZ,0.906785659,Black,Smoking,ARIZONA
AZ,0.830643606,Hispanic,Smoking,ARIZONA
AZ,4.724212815,Asian,Smoking,ARIZONA
AZ,0.118650868,Native Hawaian or Pacific Islander,Smoking,ARIZONA
AZ,1.008643361,American Indian or Alaska Native,Smoking,ARIZONA
AR,1.193995138,White,Senior,ARKANSAS
AR,0.622087326,Black,Senior,ARKANSAS
AR,0.207288303,Hispanic,Senior,ARKANSAS
AR,0.44997004,Asian,Senior,ARKANSAS
AR,0.602118974,American Indian or Alaska Native,Senior,ARKANSAS
AR,0.368078344,Native Hawaian or Pacific Islander,Senior,ARKANSAS
AR,0.980497812,White,Asthma,ARKANSAS
AR,1.084330022,Black,Asthma,ARKANSAS
AR,0.869814382,Hispanic,Asthma,ARKANSAS
AR,NA,Asian,Asthma,ARKANSAS
AR,NA,Native Hawaian or Pacific Islander,Asthma,ARKANSAS
AR,4.055710061,American Indian or Alaska Native,Asthma,ARKANSAS
AR,1.143719949,White,COPD,ARKANSAS
AR,0.624353936,Black,COPD,ARKANSAS
AR,0.415479211,Hispanic,COPD,ARKANSAS
AR,NA,Asian,COPD,ARKANSAS
AR,NA,Native Hawaian or Pacific Islander,COPD,ARKANSAS
AR,3.918379066,American Indian or Alaska Native,COPD,ARKANSAS
AR,1.031894806,White,Diabetes,ARKANSAS
AR,1.138492424,Black,Diabetes,ARKANSAS
AR,0.452990408,Hispanic,Diabetes,ARKANSAS
AR,0.974873074,Asian,Diabetes,ARKANSAS
AR,NA,Native Hawaian or Pacific Islander,Diabetes,ARKANSAS
AR,3.401933899,American Indian or Alaska Native,Diabetes,ARKANSAS
AR,1.029849154,White,Kidney Disease,ARKANSAS
AR,1.013131967,Black,Kidney Disease,ARKANSAS
AR,0.580513875,Hispanic,Kidney Disease,ARKANSAS
AR,NA,Asian,Kidney Disease,ARKANSAS
AR,3.872275425,American Indian or Alaska Native,Kidney Disease,ARKANSAS
AR,NA,Native Hawaian or Pacific Islander,Kidney Disease,ARKANSAS
AR,1.019989448,White,Obesity,ARKANSAS
AR,1.088374602,Black,Obesity,ARKANSAS
AR,0.713321248,Hispanic,Obesity,ARKANSAS
AR,0.201356929,Asian,Obesity,ARKANSAS
AR,3.23639777,American Indian or Alaska Native,Obesity,ARKANSAS
AR,0.036870413,Native Hawaian or Pacific Islander,Obesity,ARKANSAS
AR,1.060269756,White,Smoking,ARKANSAS
AR,0.846528072,Black,Smoking,ARKANSAS
AR,0.576022282,Hispanic,Smoking,ARKANSAS
AR,2.401834863,Asian,Smoking,ARKANSAS
AR,0.057425535,Native Hawaian or Pacific Islander,Smoking,ARKANSAS
AR,5.180288055,American Indian or Alaska Native,Smoking,ARKANSAS
CA,1.554053896,White,Senior,CALIFORNIA
CA,0.923643258,Black,Senior,CALIFORNIA
CA,0.497227795,Hispanic,Senior,CALIFORNIA
CA,1.37506493,Asian,Senior,CALIFORNIA
CA,1.093688988,American Indian or Alaska Native,Senior,CALIFORNIA
CA,0.928173131,Native Hawaian or Pacific Islander,Senior,CALIFORNIA
CA,1.166419384,White,Asthma,CALIFORNIA
CA,1.599460328,Black,Asthma,CALIFORNIA
CA,0.778714296,Hispanic,Asthma,CALIFORNIA
CA,2.560212816,Asian,Asthma,CALIFORNIA
CA,0.021739717,Native Hawaian or Pacific Islander,Asthma,CALIFORNIA
CA,2.755684557,American Indian or Alaska Native,Asthma,CALIFORNIA
CA,1.418889356,White,COPD,CALIFORNIA
CA,1.4141847,Black,COPD,CALIFORNIA
CA,0.693344248,Hispanic,COPD,CALIFORNIA
CA,1.282865581,Asian,COPD,CALIFORNIA
CA,0.01851199,Native Hawaian or Pacific Islander,COPD,CALIFORNIA
CA,3.470314756,American Indian or Alaska Native,COPD,CALIFORNIA
CA,0.824580123,White,Diabetes,CALIFORNIA
CA,1.451180008,Black,Diabetes,CALIFORNIA
CA,1.032999182,Hispanic,Diabetes,CALIFORNIA
CA,3.498708395,Asian,Diabetes,CALIFORNIA
CA,0.016031807,Native Hawaian or Pacific Islander,Diabetes,CALIFORNIA
CA,2.924331419,American Indian or Alaska Native,Diabetes,CALIFORNIA
CA,1.143199087,White,Kidney Disease,CALIFORNIA
CA,0.695358439,Black,Kidney Disease,CALIFORNIA
CA,0.96382349,Hispanic,Kidney Disease,CALIFORNIA
CA,2.220330456,Asian,Kidney Disease,CALIFORNIA
CA,2.567158676,American Indian or Alaska Native,Kidney Disease,CALIFORNIA
CA,NA,Native Hawaian or Pacific Islander,Kidney Disease,CALIFORNIA
CA,0.984757138,White,Obesity,CALIFORNIA
CA,1.625299548,Black,Obesity,CALIFORNIA
CA,1.136787022,Hispanic,Obesity,CALIFORNIA
CA,1.420232858,Asian,Obesity,CALIFORNIA
CA,1.792576966,American Indian or Alaska Native,Obesity,CALIFORNIA
CA,0.026327793,Native Hawaian or Pacific Islander,Obesity,CALIFORNIA
CA,1.134399821,White,Smoking,CALIFORNIA
CA,1.228473402,Black,Smoking,CALIFORNIA
CA,0.912792107,Hispanic,Smoking,CALIFORNIA
CA,2.180121344,Asian,Smoking,CALIFORNIA
CA,0.04012244,Native Hawaian or Pacific Islander,Smoking,CALIFORNIA
CA,2.675940008,American Indian or Alaska Native,Smoking,CALIFORNIA
CO,1.224362225,White,Senior,COLORADO
CO,0.670364895,Black,Senior,COLORADO
CO,0.474338663,Hispanic,Senior,COLORADO
CO,1.072093125,Asian,Senior,COLORADO
CO,0.689673349,American Indian or Alaska Native,Senior,COLORADO
CO,0.57648485,Native Hawaian or Pacific Islander,Senior,COLORADO
CO,1.075571153,White,Asthma,COLORADO
CO,1.093566922,Black,Asthma,COLORADO
CO,0.728937565,Hispanic,Asthma,COLORADO
CO,2.333212954,Asian,Asthma,COLORADO
CO,0.120939269,Native Hawaian or Pacific Islander,Asthma,COLORADO
CO,2.393114022,American Indian or Alaska Native,Asthma,COLORADO
CO,1.155213472,White,COPD,COLORADO
CO,1.172516211,Black,COPD,COLORADO
CO,0.509109374,Hispanic,COPD,COLORADO
CO,1.207034053,Asian,COPD,COLORADO
CO,0.24339133,Native Hawaian or Pacific Islander,COPD,COLORADO
CO,2.524996346,American Indian or Alaska Native,COPD,COLORADO
CO,0.967040639,White,Diabetes,COLORADO
CO,1.175374739,Black,Diabetes,COLORADO
CO,1.145940783,Hispanic,Diabetes,COLORADO
CO,2.504564837,Asian,Diabetes,COLORADO
CO,0.06906887,Native Hawaian or Pacific Islander,Diabetes,COLORADO
CO,0.753308759,American Indian or Alaska Native,Diabetes,COLORADO
CO,1.165287448,White,Kidney Disease,COLORADO
CO,1.144118331,Black,Kidney Disease,COLORADO
CO,0.664103414,Hispanic,Kidney Disease,COLORADO
CO,0.549836235,Asian,Kidney Disease,COLORADO
CO,0.784904873,American Indian or Alaska Native,Kidney Disease,COLORADO
CO,NA,Native Hawaian or Pacific Islander,Kidney Disease,COLORADO
CO,1.001362086,White,Obesity,COLORADO
CO,1.11110475,Black,Obesity,COLORADO
CO,1.048042329,Hispanic,Obesity,COLORADO
CO,0.866473799,Asian,Obesity,COLORADO
CO,1.665254229,American Indian or Alaska Native,Obesity,COLORADO
CO,0.169638724,Native Hawaian or Pacific Islander,Obesity,COLORADO
CO,0.975624461,White,Smoking,COLORADO
CO,1.17247357,Black,Smoking,COLORADO
CO,0.981752722,Hispanic,Smoking,COLORADO
CO,2.51262665,Asian,Smoking,COLORADO
CO,0.221879504,Native Hawaian or Pacific Islander,Smoking,COLORADO
CO,2.409283082,American Indian or Alaska Native,Smoking,COLORADO
CT,1.260544602,White,Senior,CONNECTICUT
CT,0.652538549,Black,Senior,CONNECTICUT
CT,0.355372078,Hispanic,Senior,CONNECTICUT
CT,0.599171649,Asian,Senior,CONNECTICUT
CT,0.979442499,American Indian or Alaska Native,Senior,CONNECTICUT
CT,0.448016992,Native Hawaian or Pacific Islander,Senior,CONNECTICUT
CT,0.906648152,White,Asthma,CONNECTICUT
CT,1.231664085,Black,Asthma,CONNECTICUT
CT,1.345292263,Hispanic,Asthma,CONNECTICUT
CT,2.077107124,Asian,Asthma,CONNECTICUT
CT,0.058713142,Native Hawaian or Pacific Islander,Asthma,CONNECTICUT
CT,2.393584246,American Indian or Alaska Native,Asthma,CONNECTICUT
CT,1.158264983,White,COPD,CONNECTICUT
CT,0.688190199,Black,COPD,CONNECTICUT
CT,0.688776826,Hispanic,COPD,CONNECTICUT
CT,0.120866878,Asian,COPD,CONNECTICUT
CT,NA,Native Hawaian or Pacific Islander,COPD,CONNECTICUT
CT,6.860299698,American Indian or Alaska Native,COPD,CONNECTICUT
CT,0.974352363,White,Diabetes,CONNECTICUT
CT,1.569489878,Black,Diabetes,CONNECTICUT
CT,0.886441716,Hispanic,Diabetes,CONNECTICUT
CT,2.587145813,Asian,Diabetes,CONNECTICUT
CT,0.020823284,Native Hawaian or Pacific Islander,Diabetes,CONNECTICUT
CT,1.268520879,American Indian or Alaska Native,Diabetes,CONNECTICUT
CT,0.987400658,White,Kidney Disease,CONNECTICUT
CT,1.665013232,Black,Kidney Disease,CONNECTICUT
CT,0.943996876,Hispanic,Kidney Disease,CONNECTICUT
CT,0.567986354,Asian,Kidney Disease,CONNECTICUT
CT,1.237994665,American Indian or Alaska Native,Kidney Disease,CONNECTICUT
CT,NA,Native Hawaian or Pacific Islander,Kidney Disease,CONNECTICUT
CT,0.995117343,White,Obesity,CONNECTICUT
CT,1.301491767,Black,Obesity,CONNECTICUT
CT,1.044873359,Hispanic,Obesity,CONNECTICUT
CT,1.161841712,Asian,Obesity,CONNECTICUT
CT,2.993117771,American Indian or Alaska Native,Obesity,CONNECTICUT
CT,0.022374563,Native Hawaian or Pacific Islander,Obesity,CONNECTICUT
CT,0.916140879,White,Smoking,CONNECTICUT
CT,1.462387501,Black,Smoking,CONNECTICUT
CT,1.257196316,Hispanic,Smoking,CONNECTICUT
CT,1.110552069,Asian,Smoking,CONNECTICUT
CT,0.014681964,Native Hawaian or Pacific Islander,Smoking,CONNECTICUT
CT,4.230299737,American Indian or Alaska Native,Smoking,CONNECTICUT
DE,1.284367168,White,Senior,DELAWARE
DE,0.653424012,Black,Senior,DELAWARE
DE,0.240532387,Hispanic,Senior,DELAWARE
DE,0.493929417,Asian,Senior,DELAWARE
DE,1.202461697,American Indian or Alaska Native,Senior,DELAWARE
DE,0.618056224,Native Hawaian or Pacific Islander,Senior,DELAWARE
DE,1.023862747,White,Asthma,DELAWARE
DE,1.14226833,Black,Asthma,DELAWARE
DE,0.749591218,Hispanic,Asthma,DELAWARE
DE,1.794209495,Asian,Asthma,DELAWARE
DE,0.008921221,Native Hawaian or Pacific Islander,Asthma,DELAWARE
DE,2.788822915,American Indian or Alaska Native,Asthma,DELAWARE
DE,1.125750544,White,COPD,DELAWARE
DE,0.975043805,Black,COPD,DELAWARE
DE,0.558290485,Hispanic,COPD,DELAWARE
DE,0.80774946,Asian,COPD,DELAWARE
DE,0.172015416,Native Hawaian or Pacific Islander,COPD,DELAWARE
DE,2.375744585,American Indian or Alaska Native,COPD,DELAWARE
DE,1.031529336,White,Diabetes,DELAWARE
DE,1.234475461,Black,Diabetes,DELAWARE
DE,0.510381561,Hispanic,Diabetes,DELAWARE
DE,1.703371374,Asian,Diabetes,DELAWARE
DE,0.070826313,Native Hawaian or Pacific Islander,Diabetes,DELAWARE
DE,2.47407152,American Indian or Alaska Native,Diabetes,DELAWARE
DE,1.030449528,White,Kidney Disease,DELAWARE
DE,1.449434633,Black,Kidney Disease,DELAWARE
DE,0.236501458,Hispanic,Kidney Disease,DELAWARE
DE,NA,Asian,Kidney Disease,DELAWARE
DE,1.304840125,American Indian or Alaska Native,Kidney Disease,DELAWARE
DE,0.05274112,Native Hawaian or Pacific Islander,Kidney Disease,DELAWARE
DE,1.043358985,White,Obesity,DELAWARE
DE,1.17839855,Black,Obesity,DELAWARE
DE,0.620955848,Hispanic,Obesity,DELAWARE
DE,1.424949445,Asian,Obesity,DELAWARE
DE,1.939574738,American Indian or Alaska Native,Obesity,DELAWARE
DE,0.023521218,Native Hawaian or Pacific Islander,Obesity,DELAWARE
DE,1.081979694,White,Smoking,DELAWARE
DE,1.00530062,Black,Smoking,DELAWARE
DE,0.829613513,Hispanic,Smoking,DELAWARE
DE,0.949785665,Asian,Smoking,DELAWARE
DE,0.05270652,Native Hawaian or Pacific Islander,Smoking,DELAWARE
DE,1.496117978,American Indian or Alaska Native,Smoking,DELAWARE
DC,0.960278507,White,Senior,DISTRICT OF COLUMBIA
DC,1.233346751,Black,Senior,DISTRICT OF COLUMBIA
DC,0.439495917,Hispanic,Senior,DISTRICT OF COLUMBIA
DC,0.713107916,Asian,Senior,DISTRICT OF COLUMBIA
DC,1.563152221,American Indian or Alaska Native,Senior,DISTRICT OF COLUMBIA
DC,0.480289483,Native Hawaian or Pacific Islander,Senior,DISTRICT OF COLUMBIA
DC,0.939348948,White,Asthma,DISTRICT OF COLUMBIA
DC,1.018276474,Black,Asthma,DISTRICT OF COLUMBIA
DC,1.016473832,Hispanic,Asthma,DISTRICT OF COLUMBIA
DC,1.697599268,Asian,Asthma,DISTRICT OF COLUMBIA
DC,0.048320873,Native Hawaian or Pacific Islander,Asthma,DISTRICT OF COLUMBIA
DC,11.30382864,American Indian or Alaska Native,Asthma,DISTRICT OF COLUMBIA
DC,0.431484921,White,COPD,DISTRICT OF COLUMBIA
DC,1.578715868,Black,COPD,DISTRICT OF COLUMBIA
DC,0.413551072,Hispanic,COPD,DISTRICT OF COLUMBIA
DC,1.941576219,Asian,COPD,DISTRICT OF COLUMBIA
DC,NA,Native Hawaian or Pacific Islander,COPD,DISTRICT OF COLUMBIA
DC,9.204365067,American Indian or Alaska Native,COPD,DISTRICT OF COLUMBIA
DC,0.287593649,White,Diabetes,DISTRICT OF COLUMBIA
DC,1.645295619,Black,Diabetes,DISTRICT OF COLUMBIA
DC,0.93581186,Hispanic,Diabetes,DISTRICT OF COLUMBIA
DC,0.79418482,Asian,Diabetes,DISTRICT OF COLUMBIA
DC,0.047862084,Native Hawaian or Pacific Islander,Diabetes,DISTRICT OF COLUMBIA
DC,5.61038844,American Indian or Alaska Native,Diabetes,DISTRICT OF COLUMBIA
DC,0.46115448,White,Kidney Disease,DISTRICT OF COLUMBIA
DC,1.542647396,Black,Kidney Disease,DISTRICT OF COLUMBIA
DC,0.899653279,Hispanic,Kidney Disease,DISTRICT OF COLUMBIA
DC,NA,Asian,Kidney Disease,DISTRICT OF COLUMBIA
DC,2.965161597,American Indian or Alaska Native,Kidney Disease,DISTRICT OF COLUMBIA
DC,NA,Native Hawaian or Pacific Islander,Kidney Disease,DISTRICT OF COLUMBIA
DC,0.581212645,White,Obesity,DISTRICT OF COLUMBIA
DC,1.32899943,Black,Obesity,DISTRICT OF COLUMBIA
DC,1.179393249,Hispanic,Obesity,DISTRICT OF COLUMBIA
DC,0.989312488,Asian,Obesity,DISTRICT OF COLUMBIA
DC,7.89767887,American Indian or Alaska Native,Obesity,DISTRICT OF COLUMBIA
DC,0.070162267,Native Hawaian or Pacific Islander,Obesity,DISTRICT OF COLUMBIA
DC,0.592727431,White,Smoking,DISTRICT OF COLUMBIA
DC,1.399067052,Black,Smoking,DISTRICT OF COLUMBIA
DC,0.55110325,Hispanic,Smoking,DISTRICT OF COLUMBIA
DC,1.368603881,Asian,Smoking,DISTRICT OF COLUMBIA
DC,0.035078088,Native Hawaian or Pacific Islander,Smoking,DISTRICT OF COLUMBIA
DC,17.12764977,American Indian or Alaska Native,Smoking,DISTRICT OF COLUMBIA
FL,1.37006593,White,Senior,FLORIDA
FL,0.525943644,Black,Senior,FLORIDA
FL,0.586949447,Hispanic,Senior,FLORIDA
FL,0.722298166,Asian,Senior,FLORIDA
FL,0.827574487,American Indian or Alaska Native,Senior,FLORIDA
FL,0.639480685,Native Hawaian or Pacific Islander,Senior,FLORIDA
FL,0.958465015,White,Asthma,FLORIDA
FL,0.947221894,Black,Asthma,FLORIDA
FL,1.178653559,Hispanic,Asthma,FLORIDA
FL,2.021852588,Asian,Asthma,FLORIDA
FL,0.015133718,Native Hawaian or Pacific Islander,Asthma,FLORIDA
FL,6.320785202,American Indian or Alaska Native,Asthma,FLORIDA
FL,1.255054863,White,COPD,FLORIDA
FL,0.599180404,Black,COPD,FLORIDA
FL,0.766517762,Hispanic,COPD,FLORIDA
FL,0.240187424,Asian,COPD,FLORIDA
FL,0.006326986,Native Hawaian or Pacific Islander,COPD,FLORIDA
FL,7.023406536,American Indian or Alaska Native,COPD,FLORIDA
FL,1.016829156,White,Diabetes,FLORIDA
FL,1.141438676,Black,Diabetes,FLORIDA
FL,0.925130815,Hispanic,Diabetes,FLORIDA
FL,1.916690379,Asian,Diabetes,FLORIDA
FL,0.139238551,Native Hawaian or Pacific Islander,Diabetes,FLORIDA
FL,4.786161529,American Indian or Alaska Native,Diabetes,FLORIDA
FL,1.106584802,White,Kidney Disease,FLORIDA
FL,0.82732801,Black,Kidney Disease,FLORIDA
FL,0.860765248,Hispanic,Kidney Disease,FLORIDA
FL,2.629703918,Asian,Kidney Disease,FLORIDA
FL,7.630861642,American Indian or Alaska Native,Kidney Disease,FLORIDA
FL,0.028938345,Native Hawaian or Pacific Islander,Kidney Disease,FLORIDA
FL,0.996681812,White,Obesity,FLORIDA
FL,1.149286754,Black,Obesity,FLORIDA
FL,0.982630695,Hispanic,Obesity,FLORIDA
FL,1.616591915,Asian,Obesity,FLORIDA
FL,3.640578372,American Indian or Alaska Native,Obesity,FLORIDA
FL,0.063603722,Native Hawaian or Pacific Islander,Obesity,FLORIDA
FL,1.158494071,White,Smoking,FLORIDA
FL,0.722049432,Black,Smoking,FLORIDA
FL,0.848561976,Hispanic,Smoking,FLORIDA
FL,0.839784509,Asian,Smoking,FLORIDA
FL,0.10643613,Native Hawaian or Pacific Islander,Smoking,FLORIDA
FL,8.975544783,American Indian or Alaska Native,Smoking,FLORIDA
GA,1.348538967,White,Senior,GEORGIA
GA,0.71824278,Black,Senior,GEORGIA
GA,0.2622184,Hispanic,Senior,GEORGIA
GA,0.692912069,Asian,Senior,GEORGIA
GA,1.072049731,American Indian or Alaska Native,Senior,GEORGIA
GA,0.614802147,Native Hawaian or Pacific Islander,Senior,GEORGIA
GA,1.012601142,White,Asthma,GEORGIA
GA,1.201220959,Black,Asthma,GEORGIA
GA,0.501747601,Hispanic,Asthma,GEORGIA
GA,2.885723587,Asian,Asthma,GEORGIA
GA,0.016765003,Native Hawaian or Pacific Islander,Asthma,GEORGIA
GA,1.478552221,American Indian or Alaska Native,Asthma,GEORGIA
GA,1.322354778,White,COPD,GEORGIA
GA,0.74635059,Black,COPD,GEORGIA
GA,0.349115424,Hispanic,COPD,GEORGIA
GA,0.293118949,Asian,COPD,GEORGIA
GA,0.047107494,Native Hawaian or Pacific Islander,COPD,GEORGIA
GA,3.50826106,American Indian or Alaska Native,COPD,GEORGIA
GA,0.983635499,White,Diabetes,GEORGIA
GA,1.182674915,Black,Diabetes,GEORGIA
GA,0.651973131,Hispanic,Diabetes,GEORGIA
GA,4.682744795,Asian,Diabetes,GEORGIA
GA,0.085563683,Native Hawaian or Pacific Islander,Diabetes,GEORGIA
GA,2.386970138,American Indian or Alaska Native,Diabetes,GEORGIA
GA,1.15189762,White,Kidney Disease,GEORGIA
GA,1.04441349,Black,Kidney Disease,GEORGIA
GA,0.452874572,Hispanic,Kidney Disease,GEORGIA
GA,0.794630878,Asian,Kidney Disease,GEORGIA
GA,3.431824686,American Indian or Alaska Native,Kidney Disease,GEORGIA
GA,NA,Native Hawaian or Pacific Islander,Kidney Disease,GEORGIA
GA,0.987569509,White,Obesity,GEORGIA
GA,1.259547413,Black,Obesity,GEORGIA
GA,0.574219916,Hispanic,Obesity,GEORGIA
GA,2.062941096,Asian,Obesity,GEORGIA
GA,0.995607399,American Indian or Alaska Native,Obesity,GEORGIA
GA,0.04379372,Native Hawaian or Pacific Islander,Obesity,GEORGIA
GA,1.207734126,White,Smoking,GEORGIA
GA,0.838621926,Black,Smoking,GEORGIA
GA,0.604004365,Hispanic,Smoking,GEORGIA
GA,2.117652555,Asian,Smoking,GEORGIA
GA,0.042169818,Native Hawaian or Pacific Islander,Smoking,GEORGIA
GA,2.559662589,American Indian or Alaska Native,Smoking,GEORGIA
HI,1.196656952,White,Senior,HAWAII
HI,0.314805148,Black,Senior,HAWAII
HI,0.295510441,Hispanic,Senior,HAWAII
HI,2.170752644,Asian,Senior,HAWAII
HI,1.095798595,American Indian or Alaska Native,Senior,HAWAII
HI,0.882825106,Native Hawaian or Pacific Islander,Senior,HAWAII
HI,0.894620838,White,Asthma,HAWAII
HI,0.658749877,Black,Asthma,HAWAII
HI,1.299945077,Hispanic,Asthma,HAWAII
HI,2.086853523,Asian,Asthma,HAWAII
HI,0.364021503,Native Hawaian or Pacific Islander,Asthma,HAWAII
HI,7.717013703,American Indian or Alaska Native,Asthma,HAWAII
